Subject, Start Date
"Alabama: US Senate Special Election",8/15/2017
"Alabama: Birmingham Municipal Elections",8/22/2017
"Alabama: City of Mobile Municipal Elections",8/22/2017
"Alabama: US Senate Special Election",9/26/2017
"Alabama: US Senate Special Election",12/12/2017
"Alaska: Alaska Regional Education Attendance Area Elections",10/3/2017
"Arizona: Tucson City Council Primary Election",8/29/2017
"Arizona: Tucson City Council Election",11/7/2017
"California: Los Angeles Municipal General Election",5/16/2017
"California: Riverside City Council Election",6/6/2017
"California: Kings County Special Election",6/6/2017
"California: California Congressional District 34 Special Election",6/6/2017
"California: City of Portola Special Tax Election",6/6/2017
"California: City of Moreno Valley Special Vacancy Election",6/6/2017
"California: Sonoma County Special Election",6/6/2017
"California: City of Lindsay Special Election",6/6/2017
"California: San Joaquin County Employees Retirement Board Election",6/20/2017
"California: Tulare County Special Recall Election",7/11/2017
"California: Rural North Vacaville Water District Election",8/29/2017
"California: Mendocino County All-Mail Ballot Consolidated District Election",8/29/2017
"California: Riverside County General District Election",8/29/2017
"California: San Bernardino County Special Districts Election",8/29/2017
"California: San Joaquin County Uniform District Mail Ballot Election",8/29/2017
"California: City of Modesto Municipal Election",11/7/2017
"California: Markleeville Public Utility District Election",11/7/2017
"California: Kirkwood Meadows Public Utility District Election",11/7/2017
"California: Bear Valley Water District Election",11/7/2017
"California: Butte County General District Election",11/7/2017
"California: Colusa County Special Uniform District Election",11/7/2017
"California: El Dorado County Uniform District Election",11/7/2017
"California: Fresno County Uniform District Election",11/7/2017
"California: Humboldt County Uniform District Election",11/7/2017
"California: Imperial County Uniform District Election",11/7/2017
"California: Inyo County Community Services Districts Election",11/7/2017
"California: Inyo County Fire Districts Election",11/7/2017
"California: Inyo County Water Districts Election",11/7/2017
"California: Inyo County Sanitation Districts Election",11/7/2017
"California: Kern County Uniform District Election",11/7/2017
"California: Home Garden Community Service District Election",11/7/2017
"California: Kettleman City Community Service District Election",11/7/2017
"California: West Hills Community College Election",11/7/2017
"California: Kings County Water District Election",11/7/2017
"California: Alta Irrigation District Election",11/7/2017
"California: Empire Westside Irrigation District Election",11/7/2017
"California: Laguna Irrigation District Election",11/7/2017
"California: Lake County General District Election",11/7/2017
"California: Los Angeles County Local and Municipal Consolidated Elections",11/7/2017
"California: Madera County Uniform District Election",11/7/2017
"California: Marin County Uniform District Election",11/7/2017
"California: Mendocino County Consolidated District Election",11/7/2017
"California: Merced County Uniform District Election",11/7/2017
"California: Monterey County Cities, Schools, and Special Districts Election (UDEL)",11/7/2017
"California: Rowland Unified School District Election",11/7/2017
"California: Plumas County Uniform District Election",11/7/2017
"California: Riverside County Consolidated Uniform District Election",11/7/2017
"California: San Benito County School District (3-88 Voters) Election",11/7/2017
"California: San Bernardino Schools/Special Districts Election",11/7/2017
"California: City of San Bernardino Election",11/7/2017
"California: San Joaquin County Uniform District Election",11/7/2017
"California: San Joaquin Reclamation Districts Landowner Election",11/7/2017
"California: San Mateo County Uniform District Election",11/7/2017
"California: Santa Clara County Consolidated Election",11/7/2017
"California: Santa Cruz County Uniform District Election",11/7/2017
"California: Sierra County Uniform District Election",11/7/2017
"California: Siskiyou County Uniform District Election",11/7/2017
"California: North Delta Water District Election",11/7/2017
"California: Maine Prairie Water District Election",11/7/2017
"California: Sonoma County Uniform District Election",11/7/2017
"California: Stanislaus County Uniform District Election",11/7/2017
"California: Tehama County Uniform District Election",11/7/2017
"California: Trinity County Uniform District Election",11/7/2017
